Item,Quantity,Unit Price,Total Price,Source,Link
Seeed XIAO BLE nRF52840,2,$14.88,$25.87,Fab.to.Lab,https://www.fabtolab.com/seeed-xiao-ble-nrf52840-supports-arduino-micropython-bluetooth5.0-onboard-antenna-microcontroller-32-bit-arm-cortex-m4
Kailh Choc v1 Switches,40,$0.55,$22.00,NeoMacro,https://neomacro.in/products/kailh-choc-pg1350-hot-swap-sockets?srsltid=AfmBOor8u36EImYNmOMVrunXb-IJBcmzE4elqdvKx1VKok2jcNJwbEJO
Choc Hotswap Sockets,40,$0.18,$7.00,NeoMacro,https://neomacro.in/products/kailh-choc-v1-switches
MBK/MCC Keycaps,40,$0.40,$16.00,NeoMacro,https://neomacro.in/products/chocfox-cfx-choc-blank-keycaps?variant=49467027685654
PCB (Manufacturing),1,$21.00,$21.00,JLCPCB,https://jlcpcb.com/
3D Printed Case (Shipping),1,$10.00,$10.00,Printing Legion,N/A
LiPo Battery (1000mAh),2,$4.18,$8.36,Robu.in,https://robu.in/product/wly394058-1000mah-3-7v-single-cell-rechargeable-lipo-battery/
1N4148W Diodes (SOD-123),40,$0.006,$0.24,Robu.in,https://robu.in/product/1n4148w-sod-123-1206-diodereel-of-3000/
806K1 Resistor (0805),10,$0.023,$0.14,Robu.in,https://robu.in/product/ac0402fr-07806kl-yageo-62-5mw-thick-film-resistors-50v-±100ppm-℃-±1-806kω-0402-chip-resistor-surface-mount-rohs/
2M1 Resistor (0805),10,$0.020,$0.11,Robu.in,https://robu.in/product/rc0603fr-0716rl-yageo-smd-chip-resistor-16-ohm-±-1-100-mw-0603-1608-metric-thick-film-general-purpose/
TOTAL,,, $110.72,,
